Time,Speed,Throttle,Brake,RPM,nGear,DRS,X,Y
0 days 00:00:11.621000,71.0,22.0,False,6704.0,2,0,245.3087274119862,8302.189606998094
0 days 00:00:11.703000,72.27725682786429,23.788159559010005,False,6754.323919017853,2,0,259.0,8293.0
0 days 00:00:11.863000,74.7694691627602,27.27725682786429,False,6852.517085012752,2,0,286.0,8273.0
0 days 00:00:11.942000,76.0,29.0,False,6901.0,2,0,298.4749527306721,8262.351691917636
0 days 00:00:12.023000,78.531248,32.5437472,False,7216.3935008,2,0,312.0,8250.0
0 days 00:00:12.102000,81.0,36.0,False,7524.0,2,0,327.40001246732135,8235.611691763277
0 days 00:00:12.301000,87.0,41.0,False,8134.0,2,0,371.56372309386785,8193.245343183857
0 days 00:00:12.362000,88.69444266666666,44.388885333333334,False,8287.177617066667,2,0,383.0,8182.0
0 days 00:00:12.661000,97.0,61.0,False,9038.0,2,0,423.25815461186664,8140.021803320472
0 days 00:00:12.682000,98.0499968,61.3937488,False,9102.0498048,2,0,426.0,8137.0
0 days 00:00:12.821000,105.0,64.0,False,9526.0,2,0,445.30736037420445,8115.323518053727
0 days 00:00:13.021000,114.0,75.0,False,10501.0,2,0,487.42722061005026,8071.32865752889
0 days 00:00:13.042000,114.83999744,75.31499904,False,10432.54020864,2,0,494.0,8065.0
0 days 00:00:13.221000,122.0,78.0,False,9849.0,2,0,560.456665444998,8003.736755598872
0 days 00:00:13.242000,122.83999744,77.79000064,False,9842.1750208,2,0,567.0,7998.0
0 days 00:00:13.421000,130.0,76.0,False,9784.0,3,0,602.1305005442883,7970.841404490577
0 days 00:00:13.542000,131.5124992,72.9750016,False,9931.7207552,3,0,625.0,7958.0
0 days 00:00:13.661000,133.0,70.0,False,10077.0,3,0,658.6587233859799,7939.9393117645495
0 days 00:00:13.861000,139.0,69.0,False,10378.0,3,0,732.071257081281,7905.050843032393
0 days 00:00:13.882000,139.73499776,68.58000128,False,10238.03542656,3,0,740.0,7902.0
0 days 00:00:14.061000,146.0,65.0,False,9045.0,4,0,807.632515771668,7881.095273114916
0 days 00:00:14.062000,146.020832,65.0166656,False,9046.0582656,4,0,808.0,7881.0
0 days 00:00:14.262000,150.18749866666667,68.34999893333334,False,9257.724932266667,4,0,889.0,7867.0
0 days 00:00:14.301000,151.0,69.0,False,9299.0,4,0,912.0562735991222,7865.792411939747
0 days 00:00:14.482000,154.770832,71.2624992,False,9746.9748416,4,0,1035.0,7866.0
0 days 00:00:14.541000,156.0,72.0,False,9893.0,4,0,1064.3241314597167,7867.272859987094
0 days 00:00:14.842000,163.5249984,86.10937200000001,False,10261.7249216,4,0,1152.0,7881.0
0 days 00:00:14.861000,164.0,87.0,False,10285.0,4,0,1158.7456956965464,7882.2032948629585
0 days 00:00:15.022000,171.37916373333334,95.72082986666666,False,10745.8623168,4,0,1226.0,7894.0
0 days 00:00:15.101000,175.0,100.0,False,10972.0,4,0,1263.0295801387974,7900.954624060426
0 days 00:00:15.261000,178.0,100.0,False,11129.0,4,0,1341.9353117095493,7916.888859088651
0 days 00:00:15.322000,179.86388693333333,100.0,False,10931.089096533333,4,0,1370.0,7923.0
0 days 00:00:15.582000,187.8083313777778,100.0,False,10087.533540977778,4,0,1500.0,7958.0
0 days 00:00:15.621000,189.0,100.0,False,9961.0,5,0,1531.9513258561574,7968.3290434341625
0 days 00:00:15.743000,194.22856594285713,100.0,False,10121.778402742857,5,0,1642.0,8005.0
0 days 00:00:15.901000,201.0,100.0,False,10330.0,5,0,1731.8885771151874,8034.340343750065
0 days 00:00:16.163000,205.093752,100.0,False,10804.875232,5,0,1815.0,8053.0
0 days 00:00:16.221000,206.0,100.0,False,10910.0,5,0,1841.4204186882057,8057.039219499255
0 days 00:00:16.363000,209.5500032,100.0,False,11032.4751104,5,0,1917.0,8066.0
0 days 00:00:16.541000,214.0,100.0,False,11186.0,5,0,2022.6369658496048,8071.11955830727
0 days 00:00:16.623000,216.86999552,100.0,False,11286.03984384,5,0,2073.0,8071.0
0 days 00:00:16.683000,218.97000448,100.0,False,11359.24015616,5,0,2110.0,8070.0
0 days 00:00:16.741000,221.0,100.0,False,11430.0,5,0,2145.840618661338,8068.881394429106
0 days 00:00:16.983000,224.781248,100.0,False,10968.687744,5,0,2296.0,8062.0
0 days 00:00:17.061000,226.0,100.0,False,10820.0,5,0,2344.5527965034207,8057.974794143543
0 days 00:00:17.143000,228.562496,100.0,False,10615.00032,5,0,2396.0,8053.0
0 days 00:00:17.221000,231.0,100.0,False,10420.0,6,0,2445.65144690083,8047.8706126837615
0 days 00:00:17.363000,232.7750016,100.0,False,10543.0667776,6,0,2537.0,8037.0
0 days 00:00:17.461000,234.0,100.0,False,10628.0,6,0,2599.8246871331303,8027.73404263575
0 days 00:00:17.621000,238.0,100.0,False,10759.0,6,0,2702.5515213456397,8009.709716039811
0 days 00:00:17.683000,238.93000192,100.0,False,10774.81003264,6,0,2743.0,8002.0
0 days 00:00:17.821000,241.0,100.0,False,10810.0,6,0,2834.0083180183515,7983.6219325715065
0 days 00:00:17.863000,241.7499977142857,100.0,False,10850.649876114287,6,0,2861.0,7978.0
0 days 00:00:18.043000,244.964288,100.0,False,11024.8644096,6,0,2980.0,7953.0
0 days 00:00:18.101000,246.0,100.0,False,11081.0,6,0,3029.752334829594,7942.92663488176
0 days 00:00:18.323000,248.7750016,100.0,False,11155.9250432,6,0,3237.0,7902.0
